M-STFT,PESQ,MCD,Periodicity,V/UV F1,UTMOS,Audio_ID,Periodicity_RMSE
0.7581266760826111,4.352504730224609,0.27470549515152876,0.08069632947444916,0.9629629254341125,1.7002421617507935,,
0.8448173999786377,3.96480131149292,0.25493485707785435,0.07090218365192413,0.9810126423835754,1.4422607421875,,
0.7735300064086914,4.201061725616455,0.26803305946925976,0.03463581204414368,0.9780219793319702,2.1842875480651855,,
0.6336471438407898,4.368966579437256,0.24682298059357266,0.07035528123378754,0.9837837219238281,3.09657883644104,,
0.6328689455986023,4.311357498168945,0.2431535329148373,0.09382320940494537,0.9781659245491028,3.276838541030884,,
0.6620198488235474,4.077864646911621,0.25233198277130525,0.07426846027374268,0.9729729890823364,3.258045196533203,,
0.6602485179901123,4.289061546325684,0.27736741956568095,0.0466943234205246,0.9891197085380554,3.2451844215393066,,
0.6486827731132507,4.428299427032471,0.24153237632135874,0.04120749607682228,0.9901639819145203,2.850944757461548,,
0.6766421794891357,3.9863271713256836,0.2682024568026774,0.08653116971254349,0.9650000333786011,2.946202278137207,,
0.6734896302223206,4.3953776359558105,0.243640098055191,0.07946014404296875,0.9654460549354553,2.224299907684326,,
0.7663903832435608,4.332937240600586,0.2754794550001887,0.05839503929018974,0.970588207244873,1.7584964036941528,,
0.7553996443748474,4.3230977058410645,0.29116836176704824,0.1150040477514267,0.9424083828926086,1.8847404718399048,,
0.7395200729370117,4.340562343597412,0.25920364188698586,0.09547988325357437,0.9562874436378479,1.4426497220993042,,
0.8429614901542664,4.338241100311279,0.20723134403739557,0.05238484591245651,0.891566276550293,3.232390880584717,,
0.7600539326667786,4.254284858703613,0.21069238373603189,0.03624151647090912,0.9878987669944763,2.851393699645996,,
0.6693706512451172,4.340806007385254,0.2713159226705406,0.025287052616477013,1.0,2.941385269165039,,
0.7220913767814636,4.361742973327637,0.3969610467566562,0.05045654997229576,0.9872909784317017,2.3914847373962402,,
0.6445428729057312,4.365371227264404,0.572513047745724,0.072705939412117,0.9617021083831787,2.3071932792663574,,
0.6841647624969482,4.390140056610107,0.32164806978132404,0.03593476489186287,0.9798658490180969,2.3022847175598145,,
