Audio_ID,PESQ,M-STFT,MCD,Periodicity_RMSE,V_UV_F1,UTMOS
dev-clean/1272/128104/1272_128104_000001_000000,4.112919807434082,0.7301921248435974,2.5339593569072414,0.1192448408985947,1.0,3.442030906677246
dev-clean/1272/141231/1272_141231_000007_000003,3.159684658050537,0.8345277905464172,3.1908295269603486,0.13406296515733926,0.9815303430079155,3.3294553756713867
dev-clean/1272/141231/1272_141231_000033_000002,3.854644775390625,0.7610923647880554,2.4631267940505364,0.09197078100938486,0.9732142857142857,3.7038862705230713
dev-clean/1462/170138/1462_170138_000012_000002,3.5888423919677734,0.6805875897407532,1.4807338559932683,0.1386391187393011,0.9813084112149533,4.267512321472168
dev-clean/1462/170142/1462_170142_000002_000005,3.895280122756958,0.6706627011299133,1.4577018661216177,0.18576561458576368,0.962121212121212,4.258668899536133
dev-clean/1462/170142/1462_170142_000029_000001,3.968548536300659,0.6802619099617004,1.4014825994861868,0.17651489157167768,0.9854014598540147,4.04026985168457
dev-clean/1462/170142/1462_170142_000046_000004,3.844050407409668,0.6870741844177246,1.0913707204820058,0.13497254933637717,0.9818181818181817,4.3772735595703125
dev-clean/1462/170145/1462_170145_000012_000003,3.7733540534973145,0.6723089218139648,1.329606474519118,0.10984636822841362,0.9766081871345028,3.9192380905151367
dev-clean/1462/170145/1462_170145_000033_000000,2.7659707069396973,0.673834502696991,1.366619541280009,0.12024001745840082,0.9774774774774775,4.067033767700195
dev-clean/1673/143397/1673_143397_000031_000007,4.056093215942383,0.7016101479530334,2.349624896055272,0.19681642823332826,0.9637780834479597,3.959836721420288
dev-clean/174/168635/174_168635_000040_000000,3.926217794418335,0.8277492523193359,2.245471558809325,0.17451070669165064,0.9353507565337,4.06405782699585
dev-clean/174/50561/174_50561_000058_000001,2.2235283851623535,0.8648979067802429,1.941620653655165,0.18668962728211053,0.9159663865546218,3.556688070297241
dev-clean/174/84280/174_84280_000015_000000,3.945760488510132,0.7798938751220703,2.6245961105325506,0.15170594503991983,0.9728887503895295,3.676835060119629
dev-clean/1919/142785/1919_142785_000063_000000,3.9758493900299072,0.8797284960746765,2.2052017034984734,0.11609643033103334,0.9615384615384616,3.6995677947998047
dev-clean/1919/142785/1919_142785_000131_000001,3.7501983642578125,0.7722926735877991,1.8309060525314225,0.19786670837777456,0.9676113360323887,4.079709529876709
dev-clean/1988/147956/1988_147956_000016_000009,3.9643592834472656,0.722806453704834,1.8975249026443801,0.1493474901566539,0.972972972972973,4.244621753692627
dev-clean/1988/148538/1988_148538_000015_000007,4.075296401977539,0.7406933903694153,1.1740608455477806,0.14225130371339242,0.961960025789813,3.6779050827026367
dev-clean/1988/24833/1988_24833_000028_000003,3.663193702697754,0.7276347279548645,1.2643037672208766,0.08849387743747122,0.9600000000000001,3.7062573432922363
dev-clean/1988/24833/1988_24833_000059_000000,3.720111608505249,0.7113857865333557,0.9857827032118741,0.1334843344908096,0.9880952380952381,3.741946220397949
