Audio_ID,PESQ,M-STFT,Periodicity_RMSE,V_UV_F1,UTMOS
dev-clean/1272/128104/1272_128104_000001_000000,4.501046180725098,0.6093161702156067,0.049190562840588356,0.9903536972428325,3.5870423316955566
dev-clean/1272/141231/1272_141231_000007_000003,4.3503499031066895,0.7401546835899353,0.08453617273794349,0.9602649001603755,3.5666894912719727
dev-clean/1272/141231/1272_141231_000033_000002,4.459865093231201,0.6894326210021973,0.0907468992244402,0.9780439116717464,3.9408578872680664
dev-clean/1462/170138/1462_170138_000012_000002,4.472116470336914,0.5344786643981934,0.083836578217543,0.9904761899738775,4.357578754425049
dev-clean/1462/170142/1462_170142_000002_000005,4.517615795135498,0.5378193259239197,0.10900980533302765,0.9852941171434432,4.331317901611328
dev-clean/1462/170142/1462_170142_000029_000001,4.424559593200684,0.5778231024742126,0.09690289330227224,0.9770723099022361,4.223177909851074
dev-clean/1462/170142/1462_170142_000046_000004,4.418733596801758,0.5865687131881714,0.09982766906089907,0.9726872241688024,4.433180332183838
dev-clean/1462/170145/1462_170145_000012_000003,4.530852317810059,0.5324657559394836,0.08601251890516645,0.9900426737503931,4.305386543273926
dev-clean/1462/170145/1462_170145_000033_000000,4.469484329223633,0.5743628740310669,0.09732748196234811,0.9799999994978443,4.239370346069336
dev-clean/1673/143397/1673_143397_000031_000007,4.485219955444336,0.5722659826278687,0.11540861283976049,0.9641192912050625,4.147312164306641
dev-clean/174/168635/174_168635_000040_000000,4.455765247344971,0.6665388345718384,0.08646597402839737,0.9723814481701806,4.250053882598877
dev-clean/174/50561/174_50561_000058_000001,4.474411487579346,0.666056752204895,0.12039542876458562,0.9263157889710351,3.5021066665649414
dev-clean/174/84280/174_84280_000015_000000,4.481897830963135,0.634411633014679,0.12383495193891507,0.9665751344302212,3.9916574954986572
dev-clean/1919/142785/1919_142785_000063_000000,4.46457052230835,0.7735958099365234,0.05122845494395472,0.9738219890189412,3.790404796600342
dev-clean/1919/142785/1919_142785_000131_000001,4.397895812988281,0.6260606646537781,0.08731276865590588,0.9820051408871715,4.252233505249023
dev-clean/1988/147956/1988_147956_000016_000009,4.4267048835754395,0.5796952843666077,0.14979533771237777,0.9446494459880448,4.220858573913574
dev-clean/1988/148538/1988_148538_000015_000007,4.46124792098999,0.6314252018928528,0.10522606433058469,0.9589542478655144,4.0978875160217285
dev-clean/1988/24833/1988_24833_000028_000003,4.4590277671813965,0.5397520661354065,0.10745407913873495,0.961119750663516,3.8754796981811523
dev-clean/1988/24833/1988_24833_000059_000000,4.536243915557861,0.5618152022361755,0.08752301066286938,0.9773462778108314,3.8808674812316895
dev-clean/1993/147149/1993_147149_000051_000002,4.39697265625,0.637853741645813,0.09861334382408789,0.9735135130129886,4.2240986824035645
dev-clean/1993/147965/1993_147965_000003_000004,4.307079315185547,0.6535447239875793,0.1156571458938937,0.9696113069198733,4.01437520980835
dev-clean/1993/147966/1993_147966_000020_000003,4.3510823249816895,0.6269146800041199,0.10748959723981324,0.9661229606017232,4.106764316558838
dev-clean/2035/147960/2035_147960_000019_000001,4.169913291931152,0.6956844925880432,0.1767138473746609,0.9467849218937862,3.0881035327911377
dev-clean/2035/147961/2035_147961_000011_000002,4.358620643615723,0.5900194048881531,0.1499916773175912,0.9461663942789036,3.963029146194458
dev-clean/2035/147961/2035_147961_000025_000002,4.384482383728027,0.5917294025421143,0.0830226509957944,0.9791840128206594,4.3451642990112305
dev-clean/2035/152373/2035_152373_000010_000007,4.314502716064453,0.6043784022331238,0.12027470907131708,0.962985810727048,4.429378509521484
dev-clean/2086/149214/2086_149214_000005_000002,4.395732879638672,0.544893205165863,0.12889102140812356,0.9549033638517298,3.9969277381896973
dev-clean/2086/149220/2086_149220_000016_000003,4.438931941986084,0.518014132976532,0.12507727381360165,0.9456112003608068,4.126540184020996
dev-clean/2086/149220/2086_149220_000028_000000,4.482276439666748,0.5092054605484009,0.12451737523386676,0.9533239033182881,4.135164737701416
dev-clean/2277/149874/2277_149874_000007_000001,4.428373336791992,0.5916158556938171,0.09419946018337941,0.9795918362327134,4.293758869171143
dev-clean/2277/149896/2277_149896_000007_000006,4.480590343475342,0.5837384462356567,0.1294577807944914,0.9670631285019017,4.333971977233887
dev-clean/2277/149896/2277_149896_000025_000008,4.460816383361816,0.5714061856269836,0.11035645652853156,0.9748369053697631,4.285953044891357
dev-clean/2277/149897/2277_149897_000023_000000,4.487758636474609,0.5884625911712646,0.10279085338874022,0.9714285709224086,3.6893715858459473
dev-clean/2277/149897/2277_149897_000046_000002,4.466567516326904,0.596091091632843,0.13107194652726004,0.963902438522647,4.007363796234131
dev-clean/2412/153954/2412_153954_000004_000005,4.284207820892334,0.6279355883598328,0.0938321434307937,0.9893048123333444,4.163558483123779
dev-clean/2428/83699/2428_83699_000009_000000,4.532820224761963,0.5433241724967957,0.09154943769539263,0.9827893170062605,4.429534912109375
dev-clean/2428/83699/2428_83699_000024_000004,4.5014519691467285,0.5648767352104187,0.09349646148831076,0.9782498730448156,4.3619065284729
dev-clean/2428/83699/2428_83699_000047_000000,4.499551773071289,0.5529380440711975,0.11884427200011136,0.9727463307329263,4.26906681060791
dev-clean/2428/83705/2428_83705_000015_000004,4.484712600708008,0.5855758786201477,0.08964308061213018,0.9842565592656203,4.383603572845459
dev-clean/2428/83705/2428_83705_000034_000002,4.490330696105957,0.5888747572898865,0.08318042459207772,0.9804228655909376,4.165313243865967
dev-clean/251/118436/251_118436_000017_000001,4.47743558883667,0.5985541939735413,0.13469721535938403,0.954128439866348,4.261868953704834
dev-clean/251/136532/251_136532_000000_000003,4.522240161895752,0.60386061668396,0.0967325613540176,0.9738219890273527,4.351653575897217
dev-clean/251/136532/251_136532_000020_000004,4.525722026824951,0.5596053004264832,0.13528814478679785,0.9614984386250486,4.492707252502441
dev-clean/251/137823/251_137823_000025_000001,4.556718826293945,0.5651937127113342,0.09311755346905268,0.9730312832088432,4.294587135314941
dev-clean/251/137823/251_137823_000054_000002,4.5300822257995605,0.6080992817878723,0.0725074180874752,0.9874999994979774,4.4314727783203125
dev-clean/2803/154320/2803_154320_000017_000004,4.527029514312744,0.5280115604400635,0.108153606291553,0.9761634501222194,4.010721206665039
dev-clean/2803/154328/2803_154328_000028_000000,4.513617515563965,0.5087740421295166,0.12140152753715441,0.9692726560535007,3.954379081726074
dev-clean/2803/154328/2803_154328_000080_000003,4.4828104972839355,0.5277463793754578,0.20476568017958294,0.901846452366752,4.209433555603027
dev-clean/2803/161169/2803_161169_000011_000019,4.467710971832275,0.5674121379852295,0.10667075655571784,0.9670329665294316,3.4569954872131348
dev-clean/2902/9008/2902_9008_000009_000001,4.498966217041016,0.619608461856842,0.16016733155036778,0.9270524894053979,3.7146027088165283
dev-clean/2902/9008/2902_9008_000048_000003,4.51478910446167,0.6007711887359619,0.12569916031757017,0.9726477019059978,3.301711320877075
dev-clean/3000/15664/3000_15664_000013_000004,4.47178316116333,0.5353383421897888,0.09905543547578521,0.9741184639777216,4.422442436218262
dev-clean/3000/15664/3000_15664_000029_000002,4.503157615661621,0.5591501593589783,0.11608369023720581,0.9619973481518079,4.389349460601807
dev-clean/3170/137482/3170_137482_000010_000004,4.163063049316406,0.6659758687019348,0.13559086866143386,0.954857996509975,4.024308204650879
dev-clean/3170/137482/3170_137482_000037_000001,4.386415958404541,0.6289481520652771,0.11328875753896389,0.9682791430361529,4.158547401428223
dev-clean/3536/23268/3536_23268_000028_000000,4.379232406616211,0.6301077008247375,0.17521390183500496,0.9207139887064293,4.295855522155762
dev-clean/3576/138058/3576_138058_000019_000003,4.343498706817627,0.6736367344856262,0.11641723750454361,0.9630638292870314,4.008672714233398
dev-clean/3752/4943/3752_4943_000026_000002,4.448577404022217,0.5749845504760742,0.09741755187811063,0.9729729724655268,3.782939910888672
dev-clean/3752/4943/3752_4943_000056_000002,4.515013694763184,0.5759602189064026,0.10804719116685897,0.9658385088140069,4.11720085144043
dev-clean/3752/4944/3752_4944_000031_000000,4.507203578948975,0.560924232006073,0.1907802927343822,0.91870136789245,4.418880462646484
dev-clean/3752/4944/3752_4944_000063_000003,4.4898786544799805,0.6320794820785522,0.0778352011533288,0.9828571423515265,4.404933929443359
dev-clean/3752/4944/3752_4944_000094_000000,4.492675304412842,0.579945981502533,0.13218291567387247,0.9648798516241163,3.9861903190612793
dev-clean/3853/163249/3853_163249_000058_000000,4.217509746551514,0.650838315486908,0.14744174373782742,0.9555895860210081,3.3821427822113037
dev-clean/3853/163249/3853_163249_000125_000004,4.3513689041137695,0.6358623504638672,0.11136820576360083,0.9765258210955892,3.824519157409668
dev-clean/5338/24615/5338_24615_000004_000003,4.371367931365967,0.6403811573982239,0.158421216852384,0.9407718756936015,4.3806562423706055
dev-clean/5338/284437/5338_284437_000031_000001,3.7489497661590576,0.6418726444244385,0.13175604225181323,0.9558665226411537,4.379201889038086
dev-clean/5536/43358/5536_43358_000012_000001,4.5350518226623535,0.5732500553131104,0.10774875586646125,0.9736070376212681,4.183206558227539
dev-clean/5536/43359/5536_43359_000015_000000,4.435959815979004,0.5661396980285645,0.08218389969569459,0.9884881038730033,3.944864511489868
dev-clean/5694/64025/5694_64025_000004_000006,4.539052963256836,0.5597094893455505,0.08532253547709845,0.9897199569611929,4.436276435852051
dev-clean/5694/64029/5694_64029_000006_000005,4.5103654861450195,0.5708492398262024,0.14170449723593664,0.9604389252863387,3.9697654247283936
dev-clean/5694/64029/5694_64029_000024_000002,4.502833366394043,0.53025883436203,0.12672231330002412,0.9695405260865534,4.376612186431885
dev-clean/5694/64038/5694_64038_000015_000002,4.422865867614746,0.5201678276062012,0.09167187252054397,0.9747048898845838,4.210159778594971
dev-clean/5895/34615/5895_34615_000013_000003,4.491617202758789,0.6822409629821777,0.19306366216708162,0.9069306925676364,4.4565935134887695
dev-clean/5895/34615/5895_34615_000025_000000,4.505998134613037,0.6450387835502625,0.1429465850388909,0.9429280391998964,4.427474498748779
dev-clean/5895/34622/5895_34622_000029_000002,4.467054843902588,0.6806695461273193,0.11734790292724497,0.9457364336014662,4.398390293121338
dev-clean/5895/34629/5895_34629_000021_000005,4.434220314025879,0.6389840245246887,0.25899158159491703,0.8545780964499781,4.469804763793945
dev-clean/6241/61943/6241_61943_000020_000000,4.499208450317383,0.5926591753959656,0.1599714000652813,0.9376966640677407,4.3255295753479
dev-clean/6241/61946/6241_61946_000014_000000,4.526345252990723,0.5687544345855713,0.11339563670485854,0.9652544267581169,4.219339370727539
dev-clean/6241/61946/6241_61946_000051_000001,4.522824764251709,0.5396386981010437,0.12536236423038263,0.962962962461672,4.19825553894043
dev-clean/6295/64301/6295_64301_000010_000002,4.530597686767578,0.5955431461334229,0.12412383249928359,0.9565217386297166,4.267725944519043
dev-clean/6313/66125/6313_66125_000020_000002,4.510858535766602,0.7851620316505432,0.1307536945813099,0.9677419349736963,2.1132800579071045
dev-clean/6313/66125/6313_66125_000053_000000,4.486728668212891,0.7231103777885437,0.19123787882867577,0.9504950489967648,3.248497247695923
dev-clean/6313/66129/6313_66129_000011_000001,4.35763692855835,0.6854392886161804,0.1891989571496775,0.899736147258227,3.090742349624634
dev-clean/6313/66129/6313_66129_000045_000004,4.507940769195557,0.653493344783783,0.14435063217454275,0.9460737932542844,3.0297250747680664
dev-clean/6313/66129/6313_66129_000081_000000,4.484261989593506,0.6816350817680359,0.150987108909669,0.9405684749500999,3.21740984916687
dev-clean/6313/76958/6313_76958_000029_000000,4.494229793548584,0.6883795857429504,0.1612978571915252,0.9460784308721848,2.8559482097625732
dev-clean/6313/76958/6313_76958_000073_000001,4.447751522064209,0.6488365530967712,0.16679603895580275,0.9049773750611165,2.966181993484497
dev-clean/6319/275224/6319_275224_000014_000001,4.460902690887451,0.5748050808906555,0.10042607460565352,0.9753021539918811,3.8325045108795166
