Audio_ID,PESQ,M-STFT,MCD,Periodicity_RMSE,V_UV_F1,UTMOS
dev-clean/1272/128104/1272_128104_000001_000000,4.352502346038818,0.7581267356872559,111.72839428661119,0.03712456300854683,0.9923664122137404,1.7002437114715576
dev-clean/1272/141231/1272_141231_000007_000003,3.9648194313049316,0.8448174595832825,115.07271937298074,0.04770766571164131,0.9812332439678284,1.442260503768921
dev-clean/1272/141231/1272_141231_000033_000002,4.201091766357422,0.7735300064086914,112.42941857404455,0.019515635445713997,0.963963963963964,2.1842880249023438
dev-clean/1462/170138/1462_170138_000012_000002,4.368978500366211,0.6336471438407898,110.39025721170628,0.026294119656085968,0.9929411764705881,3.096579074859619
dev-clean/1462/170142/1462_170142_000002_000005,4.31135892868042,0.6328689455986023,113.32677521819194,0.026400713250041008,0.9735849056603774,3.276838779449463
dev-clean/1462/170142/1462_170142_000029_000001,4.077873706817627,0.6620197892189026,110.18304476647747,0.04316168278455734,0.9814126394052045,3.258045196533203
dev-clean/1462/170142/1462_170142_000046_000004,4.289052486419678,0.6602485179901123,107.75493125016116,0.08215723931789398,0.9927404718693285,3.2451846599578857
dev-clean/1462/170145/1462_170145_000012_000003,4.428292751312256,0.6486827731132507,113.70440498242611,0.03356103599071503,0.9882352941176471,2.850944995880127
dev-clean/1462/170145/1462_170145_000033_000000,3.986342430114746,0.6766422390937805,109.40537588909794,0.04232380539178848,0.9794050343249429,2.946202516555786
dev-clean/1673/143397/1673_143397_000031_000007,4.395379066467285,0.6734896302223206,115.95571874309485,0.0380474291741848,0.9689213893967094,2.2243001461029053
dev-clean/174/168635/174_168635_000040_000000,4.332937717437744,0.7663903832435608,110.93561135597415,0.04608515277504921,0.9415041782729805,1.7584965229034424
dev-clean/174/50561/174_50561_000058_000001,4.3230977058410645,0.7553995251655579,108.25037968169086,0.06523118168115616,0.9632653061224489,1.8847408294677734
dev-clean/174/84280/174_84280_000015_000000,4.340561866760254,0.7395200729370117,115.68033253635065,0.0607026033103466,0.9866001869741352,1.4426498413085938
dev-clean/1919/142785/1919_142785_000063_000000,4.338235378265381,0.8429614901542664,115.66129520134119,0.029721196740865707,0.9904761904761905,3.232390880584717
dev-clean/1919/142785/1919_142785_000131_000001,4.254281520843506,0.7600539326667786,117.12787589911615,0.02093469724059105,0.9785056294779938,2.851393699645996
dev-clean/1988/147956/1988_147956_000016_000009,4.340799808502197,0.6693706512451172,115.55288904171012,0.018774066120386124,0.9664429530201343,2.941385507583618
dev-clean/1988/148538/1988_148538_000015_000007,4.361763000488281,0.7220914363861084,108.28568232782781,0.025646179914474487,0.9630589760207388,2.3914852142333984
dev-clean/1988/24833/1988_24833_000028_000003,4.365376949310303,0.6445428729057312,95.5836181336821,0.030579380691051483,0.9459459459459459,2.3071935176849365
dev-clean/1988/24833/1988_24833_000059_000000,4.390136241912842,0.6841647028923035,105.05494595481552,0.01967802084982395,0.9879518072289156,2.3022851943969727
dev-clean/1993/147149/1993_147149_000051_000002,4.082103252410889,0.7215649485588074,98.6133785583838,0.03814110904932022,0.9898190045248869,2.2822699546813965
dev-clean/1993/147965/1993_147965_000003_000004,4.072183609008789,0.7516753077507019,115.24686816107686,0.04238772764801979,0.990572878897752,2.5187973976135254
dev-clean/1993/147966/1993_147966_000020_000003,4.159844398498535,0.6953539848327637,115.5788157178986,0.036523107439279556,0.9847715736040609,3.198972702026367
dev-clean/2035/147960/2035_147960_000019_000001,4.35833740234375,0.723271369934082,118.83334260451889,0.03775994852185249,0.9648854961832061,2.3781230449676514
dev-clean/2035/147961/2035_147961_000011_000002,4.296017169952393,0.6745350956916809,113.73776070169745,0.05180760845541954,0.9765363128491621,2.7786295413970947
dev-clean/2035/147961/2035_147961_000025_000002,4.3513898849487305,0.65879887342453,114.1778063153632,0.03798144310712814,0.9716446124763705,3.5978846549987793
dev-clean/2035/152373/2035_152373_000010_000007,4.3289594650268555,0.6795957684516907,114.75866261111038,0.03199722245335579,0.9888378200919238,3.279648542404175
dev-clean/2086/149214/2086_149214_000005_000002,4.304073333740234,0.6722877621650696,107.92898901227795,0.03419414535164833,0.9858299595141701,1.6244287490844727
