Audio_ID,M-STFT,PESQ,UTMOS,ViSQOL,MCD,Pitch,Periodicity,V/UV F1
dev-clean/1272/128104/1272_128104_000001_000000,0.897469699382782,4.308610439300537,3.5179214477539062,,1.0992390072872742,19.588550567626953,0.08018523454666138,0.9752066135406494
dev-clean/1272/141231/1272_141231_000007_000003,1.0932694673538208,4.0170793533325195,3.611847400665283,,1.1684772948283317,16.23502540588379,0.07337506860494614,0.9885714650154114
dev-clean/1272/141231/1272_141231_000033_000002,0.9840563535690308,4.269608974456787,3.6716766357421875,,1.3781206984650853,12.418256759643555,0.03619888052344322,0.9900000095367432
dev-clean/1462/170138/1462_170138_000012_000002,0.8719081878662109,4.256838321685791,4.29749870300293,,1.6633445562003562,14.42352294921875,0.05626511201262474,0.9764150381088257
dev-clean/1462/170142/1462_170142_000002_000005,0.8797452449798584,4.348089694976807,4.277312755584717,,1.386910620516311,17.112890243530273,0.07070289552211761,0.9806950092315674
dev-clean/1462/170142/1462_170142_000029_000001,0.9243757128715515,4.304876804351807,4.139369964599609,,1.8522136971134044,16.817415237426758,0.07390283793210983,0.961403489112854
dev-clean/1462/170142/1462_170142_000046_000004,0.923743724822998,4.31398344039917,4.391726970672607,,1.895907422287529,19.939733505249023,0.09630154818296432,0.968790590763092
dev-clean/1462/170145/1462_170145_000012_000003,0.8792155981063843,4.401646137237549,4.183079719543457,,1.2472172110725048,15.791112899780273,0.046671777963638306,0.9912023544311523
dev-clean/1462/170145/1462_170145_000033_000000,0.880366325378418,4.286788463592529,4.060969829559326,,1.391646140313636,12.19532299041748,0.04642455279827118,0.9827585816383362
dev-clean/1673/143397/1673_143397_000031_000007,0.8921608924865723,4.356730937957764,3.7054429054260254,,1.6551454364673313,18.127317428588867,0.10668652504682541,0.9634090065956116
dev-clean/174/168635/174_168635_000040_000000,0.9919686317443848,4.178011894226074,4.132885456085205,,1.7342725950377411,13.265067100524902,0.06275684386491776,0.9588688611984253
dev-clean/174/50561/174_50561_000058_000001,0.9804641008377075,4.311734676361084,3.470046281814575,,1.1163641926040098,20.013565063476562,0.09607206284999847,0.9437229633331299
dev-clean/174/84280/174_84280_000015_000000,0.981785774230957,4.333164691925049,3.4932539463043213,,1.6735887192028374,16.149551391601562,0.10977409034967422,0.9486981630325317
dev-clean/1919/142785/1919_142785_000063_000000,1.0615758895874023,4.307951927185059,3.7429614067077637,,1.155399329357838,13.601713180541992,0.0937144011259079,0.9010989665985107
dev-clean/1919/142785/1919_142785_000131_000001,0.9467929601669312,4.153477191925049,4.171187400817871,,1.091518021293386,14.590876579284668,0.03885882720351219,0.9810945391654968
dev-clean/1988/147956/1988_147956_000016_000009,0.8828681707382202,4.3184123039245605,4.177667140960693,,1.2563942740382832,17.530183792114258,0.05270710587501526,0.9852941036224365
dev-clean/1988/148538/1988_148538_000015_000007,0.9228370189666748,4.352115631103516,4.093090534210205,,1.5380160069114397,13.777873992919922,0.06106123700737953,0.9745454788208008
dev-clean/1988/24833/1988_24833_000028_000003,0.9271197319030762,4.238752841949463,3.5787107944488525,,1.7299169945910693,13.180394172668457,0.08153528720140457,0.9395973086357117
dev-clean/1988/24833/1988_24833_000059_000000,0.9461288452148438,4.206950664520264,3.803295373916626,,1.6819629501044613,17.847536087036133,0.07232964038848877,0.9404761791229248
dev-clean/1993/147149/1993_147149_000051_000002,0.8931590914726257,4.1596198081970215,4.124505043029785,,0.9222343250016689,15.450511932373047,0.0745420977473259,0.9678778052330017
dev-clean/1993/147965/1993_147965_000003_000004,0.9249740839004517,4.081759929656982,3.9671733379364014,,1.5154771494872443,16.41067123413086,0.07552310079336166,0.9680489897727966
dev-clean/1993/147966/1993_147966_000020_000003,0.8896459341049194,3.966590642929077,3.98789119720459,,0.8963012066796562,16.905115127563477,0.04979480430483818,0.9734939932823181
dev-clean/2035/147960/2035_147960_000019_000001,0.992125928401947,4.020107269287109,3.1559746265411377,,1.1590102211912545,16.686744689941406,0.08508853614330292,0.9585492014884949
dev-clean/2035/147961/2035_147961_000011_000002,0.9086724519729614,4.321672439575195,3.832766056060791,,1.5466159142318303,13.529073715209961,0.06271029263734818,0.9813278913497925
dev-clean/2035/147961/2035_147961_000025_000002,0.9841331839561462,4.408888339996338,4.307061195373535,,1.6611859866945695,12.85113525390625,0.08521925657987595,0.9781931638717651
dev-clean/2035/152373/2035_152373_000010_000007,0.9243356585502625,4.344276428222656,3.898075580596924,,1.5344282399598443,13.974631309509277,0.05698797479271889,0.9778575301170349
dev-clean/2086/149214/2086_149214_000005_000002,0.9680334329605103,4.274795055389404,3.8723201751708984,,2.3335909515089814,13.473864555358887,0.05381348729133606,0.9751142859458923
dev-clean/2086/149220/2086_149220_000016_000003,0.9524322748184204,4.226969242095947,4.047090530395508,,2.3878724966817226,14.707805633544922,0.06159490719437599,0.9615806937217712
dev-clean/2086/149220/2086_149220_000028_000000,0.9205362200737,4.29243803024292,3.9856438636779785,,2.3123615648151046,15.715312004089355,0.05765131488442421,0.9682188034057617
dev-clean/2277/149874/2277_149874_000007_000001,1.0075671672821045,4.156008243560791,4.257416725158691,,1.2968112593478278,13.656815528869629,0.06283643841743469,0.974155068397522
dev-clean/2277/149896/2277_149896_000007_000006,1.0761970281600952,4.378193378448486,4.235064506530762,,2.005903725640073,15.266392707824707,0.0992356389760971,0.9592919945716858
dev-clean/2277/149896/2277_149896_000025_000008,0.9630722999572754,4.354384422302246,4.144800186157227,,1.6938033702147468,13.183450698852539,0.059338271617889404,0.975238025188446
dev-clean/2277/149897/2277_149897_000023_000000,1.0700528621673584,4.3709845542907715,3.2162599563598633,,2.3088129809501483,20.11298179626465,0.07847681641578674,0.9605262875556946
dev-clean/2277/149897/2277_149897_000046_000002,1.0885676145553589,4.29469108581543,3.4953110218048096,,1.442692479202402,13.274894714355469,0.07623561471700668,0.9730849266052246
dev-clean/2412/153954/2412_153954_000004_000005,1.163596510887146,4.240230560302734,4.323281288146973,,2.403583805827722,11.798897743225098,0.06254561245441437,0.9874638915061951
dev-clean/2428/83699/2428_83699_000009_000000,1.037632942199707,4.068684101104736,4.098126411437988,,1.5212702982515045,13.329377174377441,0.10259544849395752,0.9710983037948608
dev-clean/2428/83699/2428_83699_000024_000004,0.9354352951049805,4.311032772064209,4.271202087402344,,1.5629450148584132,13.876983642578125,0.05412768945097923,0.9688995480537415
dev-clean/2428/83699/2428_83699_000047_000000,0.8788608312606812,4.230580806732178,4.278467178344727,,1.4362219968091166,16.012243270874023,0.05729475989937782,0.9732142686843872
dev-clean/2428/83705/2428_83705_000015_000004,0.9886369705200195,4.256033897399902,4.307785987854004,,1.7734171095168294,14.584746360778809,0.07714440673589706,0.9747675657272339
dev-clean/2428/83705/2428_83705_000034_000002,1.050445318222046,4.144991397857666,3.838186264038086,,1.7280088849939392,12.760970115661621,0.05990523472428322,0.9794238805770874
dev-clean/251/118436/251_118436_000017_000001,0.982162356376648,4.219436168670654,4.231116771697998,,1.900522919023569,14.665684700012207,0.07839281857013702,0.9594356417655945
dev-clean/251/136532/251_136532_000000_000003,0.9836705923080444,4.349137306213379,4.247576713562012,,1.6556833615089623,12.979762077331543,0.04928496852517128,0.970588207244873
dev-clean/251/136532/251_136532_000020_000004,0.9616991877555847,4.369105815887451,4.469883918762207,,1.9718467299529563,12.872437477111816,0.06499040871858597,0.9777159094810486
dev-clean/251/137823/251_137823_000025_000001,1.0125856399536133,4.352789878845215,3.932765483856201,,1.975628502982565,14.391081809997559,0.06920595467090607,0.9775280356407166
dev-clean/251/137823/251_137823_000054_000002,1.0514435768127441,4.24144172668457,4.382193088531494,,1.4966340418898332,11.974392890930176,0.05686904489994049,0.9746835231781006
dev-clean/2803/154320/2803_154320_000017_000004,0.874482274055481,4.413794994354248,3.7463736534118652,,1.8223292158249391,14.8677339553833,0.04569563642144203,0.9840425252914429
dev-clean/2803/154328/2803_154328_000028_000000,0.8786975741386414,4.2434258460998535,3.8308303356170654,,1.959255105828781,12.887774467468262,0.04887035861611366,0.9851989150047302
dev-clean/2803/154328/2803_154328_000080_000003,0.9100117087364197,4.412490367889404,4.084082126617432,,1.4372412690191603,13.150806427001953,0.03626716136932373,0.9899999499320984
dev-clean/2803/161169/2803_161169_000011_000019,1.0820692777633667,4.2533111572265625,3.4080121517181396,,1.9465594044863308,13.934183120727539,0.04401449114084244,0.9727272987365723
dev-clean/2902/9008/2902_9008_000009_000001,0.9564520716667175,4.357330799102783,3.5326454639434814,,1.4147334096597872,15.921239852905273,0.08768109232187271,0.9486486315727234
dev-clean/2902/9008/2902_9008_000048_000003,0.9133648872375488,4.3710198402404785,2.968716859817505,,1.2070902425795942,14.830109596252441,0.13211873173713684,0.9465450048446655
dev-clean/3000/15664/3000_15664_000013_000004,0.9629811644554138,4.197606563568115,4.303110122680664,,2.0965742256815023,14.487504959106445,0.06970355659723282,0.9734069108963013
dev-clean/3000/15664/3000_15664_000029_000002,0.9841198921203613,4.17324161529541,4.265017509460449,,2.2539729294494326,14.727411270141602,0.08249319344758987,0.9568576812744141
dev-clean/3170/137482/3170_137482_000010_000004,1.321969747543335,4.30263614654541,4.082374095916748,,4.064367822195329,17.25815200805664,0.0617646686732769,0.9755639433860779
dev-clean/3170/137482/3170_137482_000037_000001,1.3425878286361694,4.281169891357422,3.7983012199401855,,4.040809456737373,19.23550796508789,0.09075877815485,0.9458128213882446
dev-clean/3536/23268/3536_23268_000028_000000,0.9686915874481201,4.204510688781738,4.232277870178223,,1.542747958370056,14.610526084899902,0.055901311337947845,0.9840255379676819
dev-clean/3576/138058/3576_138058_000019_000003,0.9526943564414978,4.2055816650390625,3.874847888946533,,1.3756855322085404,17.2072811126709,0.08251030743122101,0.9640620350837708
dev-clean/3752/4943/3752_4943_000026_000002,1.0254440307617188,4.290028095245361,3.8406169414520264,,1.4187734781121575,18.232004165649414,0.07166869938373566,0.9583333134651184
dev-clean/3752/4943/3752_4943_000056_000002,0.8547419309616089,4.415511608123779,4.054163932800293,,1.0455052158123805,13.551933288574219,0.05008300766348839,0.9924241900444031
dev-clean/3752/4944/3752_4944_000031_000000,0.9000052809715271,4.3137102127075195,4.377325057983398,,1.6693194638573883,13.830780982971191,0.05984316021203995,0.9677419662475586
dev-clean/3752/4944/3752_4944_000063_000003,0.8835164904594421,4.358710765838623,4.317431449890137,,0.894903689390712,13.664674758911133,0.05812249332666397,0.9753086566925049
dev-clean/3752/4944/3752_4944_000094_000000,0.9168641567230225,4.383854389190674,3.925933837890625,,1.6711642800260866,12.842900276184082,0.08429745584726334,0.9543147683143616
dev-clean/3853/163249/3853_163249_000058_000000,1.1248247623443604,4.355437278747559,3.4225292205810547,,1.529901064049134,15.778770446777344,0.07418323308229446,0.973607063293457
dev-clean/3853/163249/3853_163249_000125_000004,1.0450592041015625,4.302332878112793,3.283557653427124,,1.2332962546319928,13.51626205444336,0.055976152420043945,0.9887780547142029
dev-clean/5338/24615/5338_24615_000004_000003,0.9529568552970886,4.2907843589782715,4.181103706359863,,1.5021646073705868,12.799827575683594,0.05737549066543579,0.9833201169967651
dev-clean/5338/284437/5338_284437_000031_000001,1.0652530193328857,4.284567356109619,3.793165683746338,,1.3884060828756453,13.246362686157227,0.06858015060424805,0.9662446975708008
